id,title,alt_text_image,celum_id,graphic_link
1,FOCUS OPEN 2022_FOCUS Silver,FOCUS OPEN Award Silver 2022,870860,https://cdn.cloud.grohe.com/Design_Awards/D/2022_Focus_Open_Logo_Silver_mit_Subline/1280/2022_Focus_Open_Logo_Silver_mit_Subline.jpg
2,FOCUS OPEN 2023_FOCUS Silver,FOCUS OPEN Award Silver 2023,870861,https://cdn.cloud.grohe.com/Design_Awards/D/2023_FOCUS_OPEN_Silver/1280/2023_FOCUS_OPEN_Silver.jpg
3,FOCUS OPEN 2024_FOCUS Special Mention,FOCUS OPEN Award Special Mention 2024,870863,https://cdn.cloud.grohe.com/Design_Awards/D/2024_FOCUS_OPEN_Special_Mention/1280/2024_FOCUS_OPEN_Special_Mention.jpg
4,German Design Awards_Gold 2025,German Design Award Gold 2025,870868,https://cdn.cloud.grohe.com/Design_Awards/D/GDA25_HO_GOLD_MC_RGB/1280/GDA25_HO_GOLD_MC_RGB.jpg
5,German Design Awards_Special Mention 2022,German Design Award Special 2022,870889,https://cdn.cloud.grohe.com/Design_Awards/D/GDA22_HO_SPECIAL_MC_RGB/1280/GDA22_HO_SPECIAL_MC_RGB.jpg
6,German Design Awards_Special Mention 2023,German Design Award Special 2023,870897,https://cdn.cloud.grohe.com/Design_Awards/D/GDA23_HO_SPECIAL_MC_RGB/1280/GDA23_HO_SPECIAL_MC_RGB.jpg
7,German Design Awards_Special Mention 2024,German Design Award Special 2024,870905,https://cdn.cloud.grohe.com/Design_Awards/D/GDA24_HO_SPECIAL_MC_RGB/1280/GDA24_HO_SPECIAL_MC_RGB.jpg
8,German Design Awards_Winner 2023,German Design Award Winner 2023,870913,https://cdn.cloud.grohe.com/Design_Awards/D/GDA23_HO_WINNER_MC_RGB/1280/GDA23_HO_WINNER_MC_RGB.jpg
9,German Design Awards_Winner 2024,German Design Award Winner 2024,870921,https://cdn.cloud.grohe.com/Design_Awards/D/GDA24_HO_WINNER_MC_RGB/1280/GDA24_HO_WINNER_MC_RGB.jpg
10,German Design Awards_Winner 2025,German Design Award Winner 2025,870929,https://cdn.cloud.grohe.com/Design_Awards/D/GDA25_HO_WINNER_MC_RGB/1280/GDA25_HO_WINNER_MC_RGB.jpg
11,ICONIC AWARDS 2022: Innovative Architecture_Winner,ICONIC AWARDS Architecture Winner 2022,870936,https://cdn.cloud.grohe.com/Design_Awards/D/IAIA22_winner_cmyk/1280/IAIA22_winner_cmyk.jpg
12,ICONIC AWARDS 2023: Innovative Architecture_Best of Best,ICONIC AWARDS Architecture Best of Best 2023,870940,https://cdn.cloud.grohe.com/Design_Awards/D/IAIA23_Label_BOB_RGB/1280/IAIA23_Label_BOB_RGB.jpg
13,ICONIC AWARDS 2023: Innovative Architecture_Winner,ICONIC AWARDS Architecture Winner 2023,870944,https://cdn.cloud.grohe.com/Design_Awards/D/IAIA23_Label_Winner_RGB/1280/IAIA23_Label_Winner_RGB.jpg
14,ICONIC AWARDS 2023: Innovative Interior_Winner,ICONIC AWARDS Interior Winner 2023,870948,https://cdn.cloud.grohe.com/Design_Awards/D/IAII2023_winner_rgb/1280/IAII2023_winner_rgb.jpg
15,ICONIC AWARDS 2024: Interior Products_Best of Best,ICONIC AWARDS Interior Best of Best 2024,870955,https://cdn.cloud.grohe.com/Design_Awards/D/IAIP2024_BestofBest_rgb/1280/IAIP2024_BestofBest_rgb.jpg
16,ICONIC AWARDS 2024: Interior Products_Winner,ICONIC AWARDS Interior Winner 2024,870960,https://cdn.cloud.grohe.com/Design_Awards/D/IAIP2024_winner_rbg/1280/IAIP2024_winner_rbg.jpg
17,IDEA 2023_Bronze,IDEA Bronze Award 2023,870967,https://cdn.cloud.grohe.com/Design_Awards/D/IDEA_2023_Bronze_01/1280/IDEA_2023_Bronze_01.jpg
18,IDEA 2023_Gold,IDEA Gold Award 2023,870971,https://cdn.cloud.grohe.com/Design_Awards/D/IDEA_2023_Gold_01/1280/IDEA_2023_Gold_01.jpg
19,iF DESIGN AWARD 2022_Winner,iF DESIGN AWARD Winner 2022,870975,https://cdn.cloud.grohe.com/Design_Awards/D/iF_DesignAward2022_red_l_RGB/1280/iF_DesignAward2022_red_l_RGB.jpg
20,iF DESIGN AWARD 2023_Gold,iF DESIGN AWARD Gold 2023,870979,https://cdn.cloud.grohe.com/Design_Awards/D/iF_GoldAward2023_gold_l_RGB/1280/iF_GoldAward2023_gold_l_RGB.jpg
21,iF DESIGN AWARD 2023_Winner,iF DESIGN AWARD Winner 2023,870984,https://cdn.cloud.grohe.com/Design_Awards/D/iF_DesignAward2023_red_l_RGB/1280/iF_DesignAward2023_red_l_RGB.jpg
22,iF DESIGN AWARD 2024_Winner,iF DESIGN AWARD Winner 2024,870993,https://cdn.cloud.grohe.com/Design_Awards/D/iF_DESIGN_AWARD_2024_l_RGB/1280/iF_DESIGN_AWARD_2024_l_RGB.jpg
23,iF DESIGN AWARD 2025_Winner,iF DESIGN AWARD Winner 2025,870996,https://cdn.cloud.grohe.com/Design_Awards/D/iF_DesignAward2025_red_l_RGB/1280/iF_DesignAward2025_red_l_RGB.jpg
24,Red Dot Award: Product Design 2022_Winner,Red Dot Award Product Design Winner 2022,871001,https://cdn.cloud.grohe.com/Design_Awards/D/PD2022_RD/1280/PD2022_RD.jpg
25,Red Dot Award: Product Design 2023_Winner,Red Dot Award Product Design Winner 2023,871002,https://cdn.cloud.grohe.com/Design_Awards/D/PD2023_RD_t/1280/PD2023_RD_t.jpg
26,Red Dot Award: Product Design 2024_Winner,Red Dot Award Product Design Winner 2024,849545,https://cdn.cloud.grohe.com/Design_Awards/D/PD2024_RD/1280/PD2024_RD.jpg
27,Red Dot Award: Product Design 2025_Best of the Best,Red Dot Award Product Design Best of Best 2025,871010,https://cdn.cloud.grohe.com/Design_Awards/D/PD2025_BoB/1280/PD2025_BoB.jpg
28,Red Dot Award: Product Design 2025_Winner,Red Dot Award Product Design Winner 2025,871011,https://cdn.cloud.grohe.com/Design_Awards/D/PD2025_RD_t/1280/PD2025_RD_t.jpg
29,ICONIC AWARDS 2025: Product_Winner,ICONIC AWARDS Winner 2025,879806,https://cdn.cloud.grohe.com/Design_Awards/I/ICO/Iconic_Award_2025_Winner_Product_neg_black/1280/Iconic_Award_2025_Winner_Product_neg_black.jpg